City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Necochea,AR,-38.5473,-58.7368,86.04,46,1,19.19,clear sky
79,Shingu,JP,33.7333,135.9833,36.79,72,93,6.46,overcast clouds
80,Nabire,ID,-3.3667,135.4833,75.54,89,99,2.91,overcast clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,75.27,94,80,13.49,light rain
82,Yellowknife,CA,62.456,-114.3525,-4.59,83,75,8.05,light snow
83,Lodja,CD,-3.4833,23.4333,73.22,74,82,0.81,broken clouds
84,Dingle,PH,10.9995,122.6711,74.39,91,10,1.86,clear sky
85,Margate,GB,51.3813,1.3862,47.3,68,40,8.01,scattered clouds
86,Khandyga,RU,62.6667,135.6,-41.17,99,66,1.92,broken clouds
87,Podor,MR,16.6527,-14.9587,82.35,26,0,2.3,clear sky
88,Atuona,PF,-9.8,-139.0333,77.63,76,14,12.19,few clouds
89,Cayenne,GF,4.9333,-52.3333,79.09,85,0,1.01,clear sky
90,Klaksvik,FO,62.2266,-6.589,34.72,64,49,24.23,scattered clouds
91,Puranpur,IN,28.5167,80.15,47.5,78,0,7.54,clear sky
92,Fortuna,US,40.5982,-124.1573,61.41,76,0,4.0,clear sky
93,Chokurdakh,RU,70.6333,147.9167,-11.78,85,100,1.74,overcast clouds
94,Yuanping,CN,38.7153,112.7575,22.8,63,8,1.21,clear sky
95,Campos,BR,-21.75,-41.3,75.4,92,78,10.56,broken clouds
96,Entre Rios,BR,-11.9419,-38.0844,72.43,92,98,4.88,light rain
97,Provideniya,RU,64.3833,-173.3,3.51,85,4,4.41,clear sky
98,Cozumel,MX,20.5083,-86.9458,73.47,67,75,5.01,broken clouds
99,Inyonga,TZ,-6.7167,32.0667,63.63,95,89,0.36,overcast clouds
100,Boleslawiec,PL,51.2642,15.5697,46.02,74,100,28.97,overcast clouds
101,Puerto Narino,CO,-3.7703,-70.3831,91.35,57,19,2.95,few clouds
102,Georgetown,MY,5.4112,100.3354,81.9,92,20,2.3,mist
103,Portlethen,GB,57.0547,-2.1307,39.78,72,40,4.0,scattered clouds
104,Asfi,MA,32.2994,-9.2372,60.84,73,48,3.36,scattered clouds
105,Kamaishi,JP,39.2667,141.8833,26.15,59,14,11.45,few clouds
106,East London,ZA,-33.0153,27.9116,71.56,82,82,9.66,broken clouds
107,Seoul,KR,37.5683,126.9778,22.44,85,0,4.61,clear sky
108,Deputatskiy,RU,69.3,139.9,-18.11,89,100,2.15,overcast clouds
109,Cidreira,BR,-30.1811,-50.2056,72.39,60,45,12.66,scattered clouds
110,Qaanaaq,GL,77.484,-69.3632,2.46,62,100,10.49,overcast clouds
111,Orel-Izumrud,RU,43.4583,39.9244,41.02,70,100,18.01,light intensity shower rain
112,Laguna,US,38.421,-121.4238,67.64,44,0,1.99,clear sky
113,Abu Dhabi,AE,24.4667,54.3667,66.96,76,0,0.0,clear sky
114,Port Hardy,CA,50.6996,-127.4199,46.76,87,100,19.57,light rain
115,Ponta Do Sol,PT,32.6667,-17.1,64.0,66,22,5.57,few clouds
116,Verkhoyansk,RU,67.5447,133.385,-32.93,100,100,1.45,overcast clouds
117,Lamar,US,33.6668,-95.5836,66.36,17,0,17.27,clear sky
118,Cinnaminson,US,39.9968,-74.9927,22.75,50,100,1.99,overcast clouds
119,Mahebourg,MU,-20.4081,57.7,79.09,83,40,6.91,scattered clouds
120,Amahai,ID,-3.3333,128.9167,78.51,82,100,6.42,overcast clouds
121,Uyovu,TZ,-3.2833,31.5258,66.49,77,96,2.57,overcast clouds
122,Straumen,NO,63.8709,11.2999,37.4,94,100,11.79,overcast clouds
123,Ancud,CL,-41.8697,-73.8203,61.43,91,64,12.57,light rain
124,Bangassou,CF,4.7413,22.8184,68.58,30,5,3.67,clear sky
125,Dubbo,AU,-32.25,148.6167,77.13,73,79,12.66,broken clouds
126,Akdagmadeni,TR,39.6603,35.8836,14.45,78,100,4.0,overcast clouds
127,Sao Filipe,CV,14.8961,-24.4956,71.1,72,100,13.13,overcast clouds
128,Butaritari,KI,3.0707,172.7902,82.38,75,34,20.29,light rain
129,Ulaangom,MN,49.9811,92.0667,-23.57,90,97,3.65,overcast clouds
130,Te Anau,NZ,-45.4167,167.7167,57.49,90,100,1.12,overcast clouds
131,Castro,BR,-24.7911,-50.0119,59.94,99,100,6.78,overcast clouds
132,Palmer,US,42.1584,-72.3287,15.4,76,100,7.0,light snow
